id,category,description
47,21,Strong Language
20,21,Strong Language
50,21,Strong Language
35,3,Blood
39,21,Strong Language
43,29,Violence
55,3,Blood
37,29,Violence
25,29,Violence
48,3,Blood
11,21,Strong Language
41,3,Blood
53,11,Language
57,18,Sexual Themes
51,29,Violence
45,10,Intense Violence
44,3,Blood
46,17,Sexual Content
40,29,Violence
42,21,Strong Language
4,3,Blood
12,27,Use of Drugs
9,10,Intense Violence
23,21,Strong Language
246,24,Suggestive Themes
22,10,Intense Violence
38,3,Blood
30,21,Strong Language
306,6,Comic Mischief
8,4,Blood and Gore
26,3,Blood
36,21,Strong Language
29,15,Partial Nudity
24,3,Blood
18,4,Blood and Gore
19,10,Intense Violence
10,18,Sexual Themes
17,21,Strong Language
15,4,Blood and Gore
16,10,Intense Violence
251,4,Blood and Gore
247,32,Mild Language
248,33,Mild Violence
245,6,Comic Mischief
250,29,Violence
243,26,Use of Alcohol
239,18,Sexual Themes
240,21,Strong Language
242,7,Crude Humor
237,8,Drug Reference
317,4,Blood and Gore
320,4,Blood and Gore
313,21,Strong Language
319,21,Strong Language
312,33,Mild Violence
318,10,Intense Violence
315,10,Intense Violence
314,4,Blood and Gore
311,33,Mild Violence
309,24,Suggestive Themes
305,29,Violence
307,3,Blood
301,21,Strong Language
303,29,Violence
300,3,Blood
297,17,Sexual Content
289,18,Sexual Themes
295,4,Blood and Gore
294,32,Mild Language
293,29,Violence
298,21,Strong Language
287,10,Intense Violence
288,11,Language
285,32,Mild Language
283,26,Use of Alcohol
284,29,Violence
290,26,Use of Alcohol
275,4,Blood and Gore
281,7,Crude Humor
278,21,Strong Language
273,10,Intense Violence
276,10,Intense Violence
272,8,Drug Reference
269,10,Intense Violence
270,21,Strong Language
267,17,Sexual Content
266,14,Nudity
265,10,Intense Violence
259,4,Blood and Gore
260,29,Violence
257,32,Mild Language
261,4,Blood and Gore
255,6,Comic Mischief
254,29,Violence
253,26,Use of Alcohol
252,7,Crude Humor
277,14,Nudity
304,3,Blood
296,10,Intense Violence
302,24,Suggestive Themes
258,33,Mild Violence
286,4,Blood and Gore
27,29,Violence
463,3,Blood
461,3,Blood
464,29,Violence
456,9,Fantasy Violence
453,31,Animated Violence
458,17,Sexual Content
460,33,Mild Violence
447,21,Strong Language
446,15,Partial Nudity
449,34,Use of Drugs and Alcohol
451,29,Violence
441,4,Blood and Gore
436,10,Intense Violence
437,21,Strong Language
455,4,Blood and Gore
431,29,Violence
433,11,Language
454,3,Blood
434,20,Simulated Gambling
435,4,Blood and Gore
445,10,Intense Violence
432,9,Fantasy Violence
429,29,Violence
426,10,Intense Violence
427,21,Strong Language
421,29,Violence
425,8,Drug Reference
424,3,Blood
423,36,Mild Suggestive Themes
416,29,Violence
415,21,Strong Language
419,1,Alcohol Reference
417,32,Mild Language
409,18,Sexual Themes
411,32,Mild Language
412,1,Alcohol Reference
413,4,Blood and Gore
408,40,Realistic Violence
405,33,Mild Violence
404,37,Mild Cartoon Violence
398,3,Blood
390,32,Mild Language
394,32,Mild Language
395,3,Blood
393,29,Violence
389,29,Violence
402,36,Mild Suggestive Themes
385,21,Strong Language
401,35,Drug and Alcohol Reference
388,3,Blood
391,4,Blood and Gore
397,21,Strong Language
382,3,Blood
386,29,Violence
392,29,Violence
399,11,Language
381,29,Violence
380,21,Strong Language
377,3,Blood
375,3,Blood
376,29,Violence
373,10,Intense Violence
371,31,Animated Violence
370,11,Language
374,11,Language
378,8,Drug Reference
360,9,Fantasy Violence
362,4,Blood and Gore
364,9,Fantasy Violence
367,32,Mild Language
357,10,Intense Violence
363,29,Violence
359,33,Mild Violence
361,33,Mild Violence
355,17,Sexual Content
354,15,Partial Nudity
352,10,Intense Violence
351,3,Blood
346,3,Blood
339,28,Use of Tobacco
343,24,Suggestive Themes
