id,name
38808,puyofan99
15538,TDZ Games
21167,SeaDads
42407,Abracadabra Games
5807,Creative Services EARS
39245,Golden Dragon Studio
9602,rotobee
12620,(Archive) Sony - duplicate
2734,Digital Red
19987,William Tang
21994,SOMETIME kichjioji
14536,"Tose CO., LTD"
15232,Massive Monster
8252,2Play
48933,2600 Connection
1491,Mc O'River
1572,Creative Sound Design
19930,Memoriesin8bit
558,FASA Studio
12736,Lunar Ray Games
1580,Kerner Complex Security
14239,Self Made Miracle
18179,16air
21623,Terri Vellmann
3251,TAKE OFF
18826,98DEMAKE
15775,Vertical Reach
23318,CatBellUnion
4270,T's Music
50598,NovaTrix GmbH
38899,Bug Bounty Games
24141,Sketch House Games
22302,M-trix
36416,方寸游戏
22304,Elegant Chaos
16209,SoDigital
16538,SGS Casting Services
37808,"TreSensa Technologies, Inc."
43910,Starry Studio
1490,Phoenix
488,Stick Man Games
25607,Black Alchemy Games
4818,Blitzfront Game Studio
19601,Plan of Attack
871,Cyberhead
7253,The Edge
41982,Tiamat Games
43166,Kyle Rodgers
15289,Lucid Sheep Games
27044,SVGames
30538,Team Weedle
48934,Italic Games
2105,Oberon Interactive
5103,DoubleDutch Games
24443,Khud0s
18504,Studio Gier
30177,d Marie Licea
24097,Palace
13949,Salix Games
23026,Nikhil T
2645,Important Looking Pirates
10015,"Asylum Entertainment Ltd.,"
41564,PlayerOne
39565,Tabor Robak
49257,Fornaxus
49413,Gideon Greenspan
49412,Krzysztof Dudek
19926,Tapulous
16279,mrCiastku
22622,Groover
44169,Open Alpha
359,Hammerhead
23801,Rate My Funeral
13613,Simulated Environment Systems
19506,Daikoku Corporation
329,Cavia
19950,Game Odyssey Ltd
48929,Rafael Alexandre Cardoso da Silva
49258,InfluencerApps
23612,No-Mind Games
39810,Codevision
31415,Bizzy
4443,Mucky Foot Productions
12574,Biofaction
23011,Yumenamakon
1597,VoletMedia GmbH Munich
30800,Gradual Games
32783,Niila Games
23820,Bravemule
5881,AKT
24594,I Love Company
931,Vircom Interactive
20321,Cerdeira Guillaume
19984,Invictus Studio
49415,Wellmares Studio
20926,Toucan Studio
7089,Playdots
20318,Ludare Games Group
19990,Born Frustrated Studio
19044,RetroRevolution
14949,Nanashi Games
20414,Krobon Station
20623,Tequilabyte Studio
3352,Plaid Hat Games
26520,电钮组
27800,GrinningColossus
24988,TempleCode
48925,Supernova Alt Games
20820,JERA
49256,EverPic
3365,Playman
38169,Intelliplay
33093,WorstConcept Games
3183,TSI
