,game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,binned_developer,developer_RewindApp,developer_Ripknot Systems,developer_CAPCOM Co. Ltd.,developer_Kairosoft Co.Ltd,developer_Winged Cloud,developer_KOEI TECMO GAMES CO. LTD.,developer_Choice of Games,developer_EGAMER,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
0,The Tiny Bang Story,8.0,7.07,2011,1,2,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
1,World of Guns: Gun Disassembly,8.0,5.21,2014,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
2,Hacknet,8.0,14.55,2015,1,9,43,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
3,SpaceChem,8.0,11.44,2011,1,9,18,Zachtronics,0,0,0,0,0,0,0,0,0,0,417
4,Learn to Fly 3,8.0,15.57,2017,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5,Trailmakers,8.0,11.91,2019,1,10,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6,Dorfromantik,9.0,32.15,2021,1,9,32,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
7,Airport CEO,8.0,5.54,2017,1,13,28,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
8,Human Resource Machine,8.0,15.22,2015,1,9,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
9,while True: learn(),8.0,11.26,2019,1,9,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
10,Opus Magnum,9.0,37.98,2017,1,9,17,Zachtronics,0,0,0,0,0,0,0,0,0,0,417
11,The Bridge,8.0,7.04,2013,1,8,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
12,Contraption Maker,8.0,10.44,2014,1,8,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
13,7 Billion Humans,8.0,13.62,2018,1,9,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
14,Lightmatter,8.0,10.57,2020,1,9,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
15,Hook,9.0,32.79,1992,1,2,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
16,Hook,9.0,32.79,1993,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
17,Judgment,9.0,23.36,2018,1,12,1,Ryu Ga Gotoku Studio,0,0,0,0,0,0,0,0,0,0,320
18,Wilderplace,7.0,20.0,2022,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
19,Mars Horizon,8.0,5.3,2020,1,13,18,Auroch Digital,0,0,0,0,0,0,0,0,0,0,30
20,Battle Ram,8.0,7.99,2023,1,14,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
21,Ninja Stealth,5.0,2.16,2016,1,15,23,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
22,Munin,8.0,4.65,2014,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
23,Tangle Tower,9.0,21.34,2019,1,2,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
24,Crimson Dawn,6.0,2.8,2022,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
25,Infinifactory,8.0,18.53,2015,1,9,18,Zachtronics,0,0,0,0,0,0,0,0,0,0,417
26,Lost Judgment,9.0,22.73,2021,1,12,1,Ryu Ga Gotoku Studio,0,0,0,0,0,0,0,0,0,0,320
27,Mainframe Defenders,8.0,8.96,2020,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
28,Murder by Numbers,8.0,5.58,2020,1,9,1,Mediatonic,0,0,0,0,0,0,0,0,0,0,227
29,Mon Bazou,9.0,36.41,2021,1,10,21,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
30,Samurai Chess,6.0,2.2,2021,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
31,Ninja Stealth 2,5.0,2.08,2017,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
32,Turing Complete,9.0,21.06,2021,1,9,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
33,Haven Moon,6.0,3.58,2016,1,2,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
34,Peekaboo,6.0,3.83,2019,1,10,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
35,Chip's Challenge 1,8.0,9.74,2015,1,9,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
36,Evan's Remains,8.0,7.57,2020,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
37,Behind the Frame: The Finest Scenery,9.0,21.19,2021,1,2,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
38,Youropa,8.0,6.94,2018,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
39,Tetropunk,6.0,3.33,2017,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
40,Attempt[42],5.0,1.2,2016,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
41,Lost in Paradise,5.0,1.08,2015,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
42,The Prism,5.0,2.23,2015,1,15,38,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
43,All Over,7.0,8.33,2020,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
44,Akin,8.0,6.45,2016,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
45,Hive,8.0,5.88,2013,1,5,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
46,Hive,8.0,5.88,1986,1,33,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
47,Hive,8.0,5.88,2013,1,5,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
48,Hive,8.0,5.88,1986,1,33,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
49,CrossCells,8.0,5.65,2017,1,9,34,Matthew Brown,0,0,0,0,0,0,0,0,0,0,225
50,Rail Route,8.0,15.04,2021,1,9,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
51,Alice's Patchwork,8.0,4.93,2016,1,9,17,Creobit,0,0,0,0,0,0,0,0,0,0,78
52,A Little to the Left,8.0,7.47,2022,1,9,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
53,Hexologic,9.0,22.7,2018,1,9,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
54,Lost in Play,9.0,59.06,2022,1,2,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
55,Machinika Museum,8.0,10.73,2021,1,2,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
56,The Deletion,6.0,3.11,2015,1,32,1,Russpuppy,0,0,0,0,0,0,0,0,0,0,318
57,The Eyes of Ara,8.0,5.11,2016,1,2,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
58,Trigon: Space Story,5.0,2.15,2021,1,12,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
59,Main Assembly,8.0,6.92,2020,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
60,A=B,9.0,26.05,2021,1,9,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
61,Tiny Room Stories: Town Mystery,8.0,8.93,2019,1,2,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
62,Patrick's Parabox,9.0,135.5,2022,1,9,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
63,Kitrinos: Inside the Cube,6.0,3.18,2018,1,2,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
64,Malice,4.0,0.28,2004,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
65,Malice,4.0,0.28,2022,3,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
66,Psycho Reign,5.0,2.05,2022,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
67,Filament,8.0,7.92,2020,1,9,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
68,First Day,5.0,1.42,2019,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
69,A Game of Changes,5.0,1.62,2016,1,32,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
70,Last Call BBS,9.0,22.42,2022,1,9,18,Zachtronics,0,0,0,0,0,0,0,0,0,0,417
71,BounceShot,7.0,6.33,2022,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
72,The soldier in the mine,5.0,1.2,2017,1,8,1,Laush Dmitriy Sergeevich,0,0,0,0,0,0,0,0,0,0,207
73,Red Crow Mysteries: Legion,4.0,0.46,2015,1,2,17,Cateia Games,0,0,0,0,0,0,0,0,0,0,62
74,Clean Slate,7.0,8.0,2021,1,9,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
75,Atlas Rogues,5.0,0.93,2020,1,15,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
76,Chill the Piro,5.0,2.09,2016,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
77,MegaFactory Titan,8.0,5.5,2022,1,13,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
78,Sokobond,8.0,13.89,2014,1,9,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
79,The Gardens Between,8.0,15.55,2018,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
80,Taiji,8.0,15.78,2022,1,9,38,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
81,City Bus Manager,8.0,7.02,2022,1,13,28,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
82,Railbound,9.0,27.77,2022,1,9,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
83,Electrician Simulator,8.0,4.47,2022,1,9,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
84,ChessCraft,7.0,11.67,2019,1,15,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
85,Palallel,7.0,13.67,2022,2,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
86,Magicolors,7.0,9.25,2019,1,9,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
87,Relicta,5.0,2.09,2020,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
88,GravNewton,6.0,3.55,2017,1,32,1,JOZGamer,0,0,0,0,0,0,0,0,0,0,186
89,Marble World,8.0,8.49,2021,1,10,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
90,Vandals,8.0,5.3,2018,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
91,Castles,5.0,1.81,1991,1,13,22,Quicksilver Software,0,0,0,0,0,0,0,0,0,0,293
92,Castles,5.0,1.81,2015,1,9,1,Quicksilver Software,0,0,0,0,0,0,0,0,0,0,293
93,Castles,5.0,1.81,1991,1,13,22,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
94,Castles,5.0,1.81,2015,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
95,Castles,5.0,1.17,1991,1,13,22,Quicksilver Software,0,0,0,0,0,0,0,0,0,0,293
96,Castles,5.0,1.17,2015,1,9,1,Quicksilver Software,0,0,0,0,0,0,0,0,0,0,293
97,Castles,5.0,1.17,1991,1,13,22,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
98,Castles,5.0,1.17,2015,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
99,Chess Brain: Dark Troops,8.0,17.0,2021,1,9,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
100,Chuck's Challenge 3D 2020,8.0,6.73,2020,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
101,ChromaGun,8.0,5.38,2016,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
102,Evergarden,8.0,6.2,2018,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
103,Cave Quest,8.0,15.8,2020,1,2,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
104,Escape First 3,5.0,1.69,2020,1,9,43,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
105,Carestia,7.0,7.5,2021,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
106,Between Time: Escape Room,8.0,7.44,2021,1,9,18,mc2games,0,0,0,0,0,0,0,0,0,0,435
107,Vectronom,8.0,30.75,2019,1,7,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
