game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
The Tiny Bang Story,8.0,7.07,2011,1,2,17,0,0,341
World of Guns: Gun Disassembly,8.0,5.21,2014,1,5,1,0,0,341
Hacknet,8.0,14.55,2015,1,9,43,0,0,3
SpaceChem,8.0,11.44,2011,1,9,18,0,0,417
Learn to Fly 3,8.0,15.57,2017,1,13,1,0,0,341
Trailmakers,8.0,11.91,2019,1,10,1,0,0,3
Dorfromantik,9.0,32.15,2021,1,9,32,0,0,341
Airport CEO,8.0,5.54,2017,1,13,28,0,0,341
Human Resource Machine,8.0,15.22,2015,1,9,27,0,0,3
while True: learn(),8.0,11.26,2019,1,9,34,0,0,3
Opus Magnum,9.0,37.98,2017,1,9,17,0,0,417
The Bridge,8.0,7.04,2013,1,8,17,0,0,341
Contraption Maker,8.0,10.44,2014,1,8,33,0,0,341
7 Billion Humans,8.0,13.62,2018,1,9,27,0,0,3
Lightmatter,8.0,10.57,2020,1,9,18,0,0,341
Hook,9.0,32.79,1992,1,2,17,0,0,3
Hook,9.0,32.79,1993,1,8,1,0,0,3
Judgment,9.0,23.36,2018,1,12,1,0,0,320
Wilderplace,7.0,20.0,2022,1,9,17,0,0,341
Mars Horizon,8.0,5.3,2020,1,13,18,0,0,30
Battle Ram,8.0,7.99,2023,1,14,1,0,0,3
Ninja Stealth,5.0,2.16,2016,1,15,23,0,0,3
Munin,8.0,4.65,2014,1,8,1,0,0,341
Tangle Tower,9.0,21.34,2019,1,2,27,0,0,3
Crimson Dawn,6.0,2.8,2022,1,12,1,0,0,341
Infinifactory,8.0,18.53,2015,1,9,18,0,0,417
Lost Judgment,9.0,22.73,2021,1,12,1,0,0,320
Mainframe Defenders,8.0,8.96,2020,1,12,1,0,0,341
Murder by Numbers,8.0,5.58,2020,1,9,1,0,0,227
Mon Bazou,9.0,36.41,2021,1,10,21,0,0,341
Samurai Chess,6.0,2.2,2021,1,9,1,0,0,3
Ninja Stealth 2,5.0,2.08,2017,1,12,1,0,0,3
Turing Complete,9.0,21.06,2021,1,9,34,0,0,341
Haven Moon,6.0,3.58,2016,1,2,43,0,0,341
Peekaboo,6.0,3.83,2019,1,10,1,0,0,3
Chip's Challenge 1,8.0,9.74,2015,1,9,18,0,0,3
Evan's Remains,8.0,7.57,2020,1,8,1,0,0,341
Behind the Frame: The Finest Scenery,9.0,21.19,2021,1,2,31,0,0,341
Youropa,8.0,6.94,2018,1,8,1,0,0,341
Tetropunk,6.0,3.33,2017,1,9,1,0,0,341
Attempt[42],5.0,1.2,2016,1,32,1,0,0,3
Lost in Paradise,5.0,1.08,2015,1,9,1,0,0,341
The Prism,5.0,2.23,2015,1,15,38,0,0,341
All Over,7.0,8.33,2020,1,9,1,0,0,341
Akin,8.0,6.45,2016,1,32,1,0,0,3
Hive,8.0,5.88,2013,1,5,19,0,0,3
Hive,8.0,5.88,1986,1,33,1,0,0,3
Hive,8.0,5.88,2013,1,5,19,0,0,3
Hive,8.0,5.88,1986,1,33,1,0,0,3
CrossCells,8.0,5.65,2017,1,9,34,0,0,225
Rail Route,8.0,15.04,2021,1,9,33,0,0,341
Alice's Patchwork,8.0,4.93,2016,1,9,17,0,0,78
A Little to the Left,8.0,7.47,2022,1,9,27,0,0,341
Hexologic,9.0,22.7,2018,1,9,34,0,0,3
Lost in Play,9.0,59.06,2022,1,2,17,0,0,341
Machinika Museum,8.0,10.73,2021,1,2,18,0,0,341
The Deletion,6.0,3.11,2015,1,32,1,0,0,318
The Eyes of Ara,8.0,5.11,2016,1,2,43,0,0,341
Trigon: Space Story,5.0,2.15,2021,1,12,18,0,0,341
Main Assembly,8.0,6.92,2020,1,13,1,0,0,341
A=B,9.0,26.05,2021,1,9,34,0,0,341
Tiny Room Stories: Town Mystery,8.0,8.93,2019,1,2,18,0,0,341
Patrick's Parabox,9.0,135.5,2022,1,9,34,0,0,341
Kitrinos: Inside the Cube,6.0,3.18,2018,1,2,17,0,0,3
Malice,4.0,0.28,2004,1,8,1,0,0,3
Malice,4.0,0.28,2022,3,9,1,0,0,3
Psycho Reign,5.0,2.05,2022,1,32,1,0,0,341
Filament,8.0,7.92,2020,1,9,43,0,0,341
First Day,5.0,1.42,2019,1,12,1,0,0,3
A Game of Changes,5.0,1.62,2016,1,32,34,0,0,3
Last Call BBS,9.0,22.42,2022,1,9,18,0,0,417
BounceShot,7.0,6.33,2022,1,5,1,0,0,341
The soldier in the mine,5.0,1.2,2017,1,8,1,0,0,207
Red Crow Mysteries: Legion,4.0,0.46,2015,1,2,17,0,0,62
Clean Slate,7.0,8.0,2021,1,9,18,0,0,341
Atlas Rogues,5.0,0.93,2020,1,15,18,0,0,341
Chill the Piro,5.0,2.09,2016,1,32,1,0,0,341
MegaFactory Titan,8.0,5.5,2022,1,13,18,0,0,3
Sokobond,8.0,13.89,2014,1,9,34,0,0,341
The Gardens Between,8.0,15.55,2018,1,9,17,0,0,341
Taiji,8.0,15.78,2022,1,9,38,0,0,341
City Bus Manager,8.0,7.02,2022,1,13,28,0,0,341
Railbound,9.0,27.77,2022,1,9,34,0,0,3
Electrician Simulator,8.0,4.47,2022,1,9,34,0,0,341
ChessCraft,7.0,11.67,2019,1,15,33,0,0,341
Palallel,7.0,13.67,2022,2,8,1,0,0,341
Magicolors,7.0,9.25,2019,1,9,34,0,0,3
Relicta,5.0,2.09,2020,1,9,1,0,0,341
GravNewton,6.0,3.55,2017,1,32,1,0,0,186
Marble World,8.0,8.49,2021,1,10,33,0,0,341
Vandals,8.0,5.3,2018,1,9,1,0,0,341
Castles,5.0,1.81,1991,1,13,22,0,0,293
Castles,5.0,1.81,2015,1,9,1,0,0,293
Castles,5.0,1.81,1991,1,13,22,0,0,3
Castles,5.0,1.81,2015,1,9,1,0,0,3
Castles,5.0,1.17,1991,1,13,22,0,0,293
Castles,5.0,1.17,2015,1,9,1,0,0,293
Castles,5.0,1.17,1991,1,13,22,0,0,3
Castles,5.0,1.17,2015,1,9,1,0,0,3
Chess Brain: Dark Troops,8.0,17.0,2021,1,9,34,0,0,341
Chuck's Challenge 3D 2020,8.0,6.73,2020,1,9,1,0,0,3
ChromaGun,8.0,5.38,2016,1,5,1,0,0,3
Evergarden,8.0,6.2,2018,1,9,17,0,0,341
Cave Quest,8.0,15.8,2020,1,2,1,0,0,341
Escape First 3,5.0,1.69,2020,1,9,43,0,0,3
Carestia,7.0,7.5,2021,1,8,1,0,0,341
Between Time: Escape Room,8.0,7.44,2021,1,9,18,0,0,435
Vectronom,8.0,30.75,2019,1,7,1,0,0,341
Ripple,5.0,1.83,2020,1,31,19,0,0,341
Cube Raiders,5.0,1.6,2020,1,8,1,0,0,341
3D Hardcore Cube,5.0,1.27,2017,1,32,1,0,0,207
Star Seeker in: the Secret of the Sorcerous Standoff,7.0,43.0,2020,1,2,17,0,0,341
Xecryst Remains,6.0,3.45,2019,1,12,1,0,0,341
Kyklos Code,7.0,18.0,2017,1,32,1,0,0,341
Time Lock VR 2,8.0,8.3,2022,1,5,1,0,0,408
Doors,5.0,1.69,2020,1,2,17,0,0,341
SMIB: Mission Cure,7.0,6.33,2020,1,9,1,0,0,3
Mars Power Industries Deluxe,8.0,18.0,2019,1,9,18,0,0,341
Oneiros,8.0,5.34,2020,1,9,1,0,0,341
NecroWorm,5.0,0.89,2017,1,9,1,0,0,341
Neon Hardcore,5.0,1.78,2017,1,8,1,0,0,207
Ragnarok Chess,5.0,1.31,2021,1,9,1,0,0,3
I'm on Observation Duty 4,9.0,51.64,2021,1,9,19,0,0,266
Malmyr,7.0,4.0,2020,1,9,17,0,0,341
Temple Of Snek,8.0,17.0,2021,1,9,1,0,0,3
I'm on Observation Duty 5,9.0,28.94,2022,1,9,19,0,0,266
Woute,7.0,3.0,2021,1,8,35,0,0,207
Robobo TM,7.0,10.0,2021,1,5,1,0,0,341
Comet 64,6.0,3.14,2021,1,9,34,0,0,341
The Quivering,5.0,1.38,1999,1,2,18,0,0,3
Internet Court,6.0,2.44,2021,1,13,27,0,0,274
Bitcoin Collector: Spinners Attack,5.0,0.74,2017,1,32,1,0,0,3
Revhead,8.0,5.43,2017,1,10,1,0,0,341
Be a Pirate,5.0,1.33,2020,1,8,1,0,0,341
Family Mysteries 3: Criminal Mindset,6.0,3.55,2020,1,2,18,0,0,53
Click Space Miner,5.0,0.69,2016,1,13,1,0,0,341
En Route: Space,6.0,2.43,2022,2,9,18,0,0,3
Trivia Vault: 1980's Trivia 2,5.0,0.81,2017,1,13,1,0,0,312
Code Romantic,7.0,17.0,0,1,7,34,0,0,341
Mechanica,6.0,3.17,2020,1,32,21,0,0,341
Who Knocks,6.0,2.77,2022,1,15,1,0,0,341
Probe,7.0,6.0,2020,1,5,1,0,0,341
Recruit One,7.0,8.33,2020,1,9,18,0,0,3
Deleveled,8.0,3.94,2020,1,8,1,0,0,341
Hello Neighbor: Hide and Seek,8.0,5.83,2018,1,9,1,0,0,3
