id,name
892,Pac-Man
4631,Stuart Little
4940,Hajime no Ippo
783,Austin Powers
3798,My Guardian Characters
2214,The Simpsons
361,Twisted Metal
144,Johnny Bravo
450,Medabots
751,Aeon Flux
775,Gradius
834,Devil May Cry
936,Castle
2114,Pro Evolution Soccer
3160,Bonk
793,Battletoads
3471,Tenchi Muyo
4080,Rescue 911
4087,Pretz
21,BloodRayne
552,Persona
357,Phineas & Ferb
163,Pacific Rim
4526,Killer Karaoke
2783,Girls' Last Tour
3339,Property Brothers
215,Men in Black
4790,Fido Dido
295,The Dog
4731,Invincible
4289,Space Dandy
134,Fables
4537,Bobby Labonte
209,Ice Age
4939,Mañanitos
346,Disney Princess
214,A Series of Unfortunate Events
1450,NOEL the mortal fate
378,The Dukes of Hazzard
471,Back at the Barnyard
3291,Mashin Hero Wataru
441,Watchmen
1335,Black Moon Chronicles
510,Friday the 13th
532,Agatha Christie
212,The Italian Job
277,Bob the Builder
306,Grease
244,Starsky & Hutch
385,Happy Tree Friends
1458,Ni no Kuni
462,Numenera
469,Team Umizoomi
473,Nacho Libre
4791,Monsta Infinite
522,Airwolf
554,Silent Hill
4536,Dale Jarrett
593,Date A Live
260,Zatch Bell!
674,Golden Time
245,Surf's Up
724,The Blues Brothers
392,The Thing
2806,The Last Starfighter
950,Minecraft
305,Gold's Gym
296,The Lego Movie
1350,Stranger Things
1062,Dying Light
3964,Magical Taluluto-kun
3219,All Japan Pro Wrestling
4792,Cooking Academy
513,Monster High
4538,Trails
564,Inuyasha
4733,The Complex
4942,The Brave of Sun Fighbird
652,The NeverEnding Story
830,JumpStart
864,WarGames
3426,Black Rock Shooter
755,Sailor Moon
767,Rocky Horror
1041,Million Arthur
1079,Bullyparade
1084,Bob Morane
889,Project Runaway
1098,Kuroko's Basketball
1101,Nisekoi
801,Phantasy Star
849,M*A*S*H
4547,3788
152,Jeopardy
675,The Pet Girl of Sakurasou
704,Nyaruko: Crawling with Love
959,Umihara Kawase
661,The Irregular at Magic High School
4534,Battle Bears
831,World War Z
648,Wacky Races
60,Pokémon
3534,AFL
654,Dick Tracy
1196,Dresden Files
663,Black Bullet
669,Boogiepop
697,Danger Mouse
738,monster rancher
752,3x3 Eyes
822,Independence Day
823,RWBY
1455,Genshin Impact
629,Dylan Dog
637,Fright Night
636,The King of Fighters
4794,Pucca
881,Zero Escape
2117,Alarm for Cobra 11
505,Disney's American Dragon: Jake Long
4735,Animorphs
4527,The ZhuZhus
75,Thomas & Friends
4540,rubble trouble
3846,Detective Conan
230,Rave Master
1152,City Hunter
722,All Dogs Go to Heaven
727,Crysis
4899,Too Hot to Handle
1034,Fallout
1090,Beelzebub
1100,Neuro: Supernatural Detective
1106,Tottemo! Luckyman
4945,Kyouryuu Sentai Zyuranger
4946,Labyrinth
1082,darkstalkers
1147,Haruhi Suzumiya
1179,Ai Shimai
1373,Overlord
1568,Turma da Mônica
590,Sega Hard Girls
422,W.I.T.C.H.
4947,Major League
1763,Hypnosis Mic
679,Atom Ant
684,Biggles
691,Discworld
701,Seraph of the End
234,Rocket Power
1050,Gintama
1186,Ore no Imouto
3429,High School DxD
3507,Monkey Island
670,Bludgeoning Angel Dokuro-chan
368,The Punisher
337,Rango
4528,Kevin Keegan
1234,Code Geass
4244,GeGeGe no Kitaro
2294,AKB48
1009,Attack of the Killer Tomatoes
4948,Abunai Deka
4949,Perman
1153,Captain Tsubasa
1191,Falling Skies
1198,Heavy Metal
3508,Big Brother
512,Monty Python
623,Knightmare
695,To Love-Ru
709,"Wake Up, Girls!"
326,Man vs. Wild
761,Shining
350,Thor
2086,Serious Sam
3106,Wars
4550,Disney's The Little Mermaid
4950,Ninja Hattori-kun
922,Moomin
349,Tangled
735,Crossbow
366,Dota
4737,Captain Underpants
184,Carmen Sandiego
232,Robots
170,Animaniacs
204,Flushed Away
386,Reservoir Dogs
380,Futurama
1319,Blacksad
1338,syberia
571,Assassin's Creed
690,Gobots
811,Gunslinger Stratos
844,Death Note
288,CSI
2060,Michael Jordan
1052,Hugo
109,Napoleon Dynamite
4951,Takeshi's Castle
1058,Ecco the dolphin
62,Akira
129,Disney's Chicken Little
4246,Fate/Extra
1134,The Amazing World of Gumball
4738,Unbreakable Kimmy Schmidt
497,Ghost in the Shell
507,Alien vs. Predator
142,Dirty Harry
4490,Henry Danger
206,Happy Feet
550,Scott Pilgrim
559,Barker Bill's Cartoon Show
602,Yahari Ore no Seishun Rabu Kome wa Machigatteiru.
3696,Aggretsuko
391,Spy vs. Spy
261,Ace Ventura
161,Risk
4552,Dracula
235,Rocky
600,Evil Dead
609,Infinite Stratos
265,The Goonies
2412,The Idolmaster
189,Cubix
525,Xena: Warrior Princess
397,American Idol
616,Captain Planet and the Planeteers
4952,Armed Dragon Fantasy Villgust
461,Bill & Ted
518,Hook
403,Danny Phantom
