name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Just Cause 2,2010-03-23,1,Avalanche Studios,Square Enix,windows,18,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Open World;Action;Sandbox,50,33636,3231,519,272,2000000-5000000,9.99,0.0,0.1,0.0,0.02,0.12,84.0,33.0,7.7,838.0
Call of Duty: World at War,2008-11-18,1,Treyarch,Activision,windows,16,Single-player;Multi-player;Co-op,Action,Zombies;World War II;FPS,0,19595,1483,2331,1108,1000000-2000000,19.99,0.02,0.14,0.0,0.03,0.18,83.0,36.0,7.5,721.0
Overlord II,2009-06-24,1,Triumph Studios;Virtual Programming,Codemasters,windows;mac;linux,0,Single-player,RPG,RPG;Villain Protagonist;Fantasy,0,2116,306,197,119,1000000-2000000,6.99,0.0,0.03,0.0,0.0,0.03,79.0,32.0,8.1,159.0
Operation Flashpoint: Dragon Rising,2009-10-08,1,Codemasters Studios,Codemasters,windows,0,Single-player;Partial Controller Support,Action,Action;FPS;Tactical,0,1024,580,413,417,500000-1000000,6.99,0.02,0.03,0.0,0.01,0.05,76.0,29.0,4.9,539.0
F.E.A.R. 2: Project Origin,2009-02-12,1,Monolith,Warner Bros. Interactive Entertainment,windows,0,Single-player;Multi-player,Action,Horror;FPS;Action,0,3274,509,301,367,1000000-2000000,9.99,0.02,0.05,0.0,0.01,0.07,79.0,49.0,7.8,520.0
Dragon Age: Origins,2009-11-05,1,BioWare,Electronic Arts,windows,0,Single-player,RPG,RPG;Fantasy;Story Rich,0,6207,468,2061,2889,500000-1000000,14.99,0.0,0.46,0.0,0.05,0.51,91.0,67.0,8.6,3542.0
Mass Effect,2008-12-19,1,BioWare,Electronic Arts,windows,0,Single-player,Action;RPG,RPG;Sci-fi;Story Rich,0,10107,666,612,633,1000000-2000000,7.99,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0
F.E.A.R. 3,2011-06-21,1,Day 1 Studios,Warner Bros. Interactive Entertainment,windows,18,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action,FPS;Horror;Co-op,50,5349,2030,310,298,1000000-2000000,12.99,0.04,0.08,0.0,0.03,0.15,74.0,34.0,5.9,420.0
Fallout 3,2008-10-28,1,Bethesda Game Studios,Bethesda Softworks,windows,0,Single-player;Partial Controller Support,RPG,Open World;Post-apocalyptic;RPG,0,9921,2709,588,617,500000-1000000,7.99,0.02,0.88,0.0,0.08,0.98,91.0,48.0,7.9,3450.0
Fallout: New Vegas,2010-10-21,1,Obsidian Entertainment,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;RPG,Open World;RPG;Post-apocalyptic,75,66756,3149,2485,1431,2000000-5000000,7.99,0.59,0.45,0.0,0.14,1.17,84.0,39.0,8.6,2754.0
Burnout Paradise: The Ultimate Box,2009-03-12,1,Criterion Games,Electronic Arts,windows,0,Single-player;Multi-player,Racing,Racing;Open World;Multiplayer,0,9739,1487,431,576,1000000-2000000,9.99,0.0,0.08,0.0,0.01,0.09,87.0,26.0,7.5,435.0
Need for Speed: Shift,2009-10-06,1,Slightly Mad Studios,Electronic Arts,windows,0,Single-player;Multi-player,Racing,Racing;Simulation;Multiplayer,0,1101,415,339,456,200000-500000,9.99,0.0,0.05,0.0,0.01,0.06,83.0,22.0,5.8,387.0
Mass Effect 2,2010-01-28,1,BioWare,Electronic Arts,windows,0,Single-player,RPG,RPG;Sci-fi;Story Rich,0,10675,542,1087,736,1000000-2000000,19.99,0.01,0.32,0.0,0.06,0.39,94.0,55.0,8.8,3559.0
Hearts of Iron III,2009-08-07,1,Paradox Development Studio,Paradox Interactive,windows;mac,0,Single-player;Multi-player;Co-op;Steam Trading Cards,Strategy,Grand Strategy;World War II;Strategy,0,3298,992,809,1364,500000-1000000,7.99,0.02,0.04,0.0,0.01,0.07,77.0,23.0,7.1,233.0
Braid,2009-04-10,1,Number None,Number None,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Casual;Indie;Strategy,Puzzle;Platformer;Indie,12,6529,386,178,251,1000000-2000000,10.99,0.0,0.02,0.0,0.0,0.03,90.0,11.0,8.6,819.0
Supreme Commander 2,2010-03-01,1,Gas Powered Games,Square Enix,windows,0,Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards,Strategy,Strategy;RTS;Sci-fi,47,5336,903,1834,2894,1000000-2000000,8.99,0.0,0.15,0.0,0.04,0.19,77.0,54.0,6.2,803.0
Risen,2009-10-02,1,Piranha Bytes,Deep Silver,windows,0,Single-player;Steam Trading Cards,RPG,RPG;Open World;Gothic,0,3848,585,994,650,500000-1000000,7.99,0.0,0.11,0.0,0.02,0.14,77.0,32.0,8.1,676.0
Secret Files 2: Puritas Cordis,2009-10-29,1,Animation Arts,Deep Silver,windows,0,Single-player,Adventure,Adventure;Point & Click;Female Protagonist,0,60,17,0,0,20000-50000,7.99,0.0,0.03,0.0,0.0,0.04,64.0,14.0,7.1,17.0
Lost Horizon,2010-09-24,1,Animation Arts,Deep Silver,windows,0,Single-player,Adventure,Adventure;Point & Click,0,211,26,34,34,50000-100000,7.99,0.0,0.1,0.0,0.02,0.11,77.0,24.0,7.9,27.0
Risen 2: Dark Waters,2012-04-26,1,Piranha Bytes,Deep Silver,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,RPG,RPG;Pirates;Open World,49,2987,891,1278,1257,1000000-2000000,7.99,0.0,0.19,0.0,0.03,0.22,69.0,51.0,5.6,751.0
Magicka,2011-01-25,1,Arrowhead Game Studios,Paradox Interactive,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;RPG,Comedy;Action;Co-op,88,20912,1964,589,369,2000000-5000000,7.99,0.0,0.02,0.0,0.01,0.03,74.0,44.0,7.6,602.0
Front Mission Evolved,2010-10-07,1,Double Helix Games,Square Enix,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action,Mechs;Action;Shooter,27,481,310,312,312,200000-500000,7.99,0.05,0.0,0.0,0.0,0.05,63.0,13.0,5.1,48.0
F1 2011,2011-09-19,1,Codemasters Birmingham,Codemasters,windows,0,Single-player;Multi-player;Co-op,Racing;Simulation;Sports,Racing;Simulation;Sports,0,232,108,3,3,100000-200000,9.99,0.0,0.15,0.0,0.04,0.19,83.0,10.0,7.2,83.0
Dead Rising 2: Off the Record,2011-10-11,1,Capcom Vancouver,Capcom,windows,18,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure,Action;Zombies;Open World,50,1387,376,435,621,200000-500000,14.99,0.04,0.02,0.0,0.01,0.06,66.0,10.0,5.3,54.0
Ship Simulator Extremes,2010-08-27,1,VStep,Paradox Interactive,windows,0,Single-player;Multi-player,Simulation,Simulation;Realistic;Naval,0,676,794,0,0,100000-200000,14.99,0.0,0.04,0.0,0.01,0.05,49.0,5.0,6.2,27.0
