game,reviewer_rating,positivity_ratio,first_release_date,binned_developer,genre,themes,modes
The Tiny Bang Story,8.0,7.07,2011,Single Appearance,Point-and-click,Fantasy,Single player
World of Guns: Gun Disassembly,8.0,5.21,2014,Single Appearance,Shooter,Action,Multiplayer
Hacknet,8.0,14.55,2015,2-4 Appearances,Puzzle,Mystery,Co-operative
SpaceChem,8.0,11.44,2011,Zachtronics,Puzzle,Science fiction,Split screen
Learn to Fly 3,8.0,15.57,2017,Single Appearance,Simulator,Action,Massively Multiplayer Online (MMO)
Trailmakers,8.0,11.91,2019,2-4 Appearances,Racing,Action,Battle Royale
Dorfromantik,9.0,32.15,2021,Single Appearance,Puzzle,Non-fiction,
Airport CEO,8.0,5.54,2017,Single Appearance,Simulator,Business,
Human Resource Machine,8.0,15.22,2015,2-4 Appearances,Puzzle,Comedy,
while True: learn(),8.0,11.26,2019,2-4 Appearances,Puzzle,Educational,
Opus Magnum,9.0,37.98,2017,Zachtronics,Puzzle,Fantasy,
The Bridge,8.0,7.04,2013,Single Appearance,Platform,Fantasy,
Contraption Maker,8.0,10.44,2014,Single Appearance,Platform,Sandbox,
7 Billion Humans,8.0,13.62,2018,2-4 Appearances,Puzzle,Comedy,
Lightmatter,8.0,10.57,2020,Single Appearance,Puzzle,Science fiction,
Hook,9.0,32.79,1992,2-4 Appearances,Point-and-click,Fantasy,
Hook,9.0,32.79,1993,2-4 Appearances,Platform,Action,
Judgment,9.0,23.36,2018,Ryu Ga Gotoku Studio,Role-playing (RPG),Action,
Wilderplace,7.0,20.0,2022,Single Appearance,Puzzle,Fantasy,
Mars Horizon,8.0,5.3,2020,Auroch Digital,Simulator,Science fiction,
Battle Ram,8.0,7.99,2023,2-4 Appearances,Sport,Action,
Ninja Stealth,5.0,2.16,2016,2-4 Appearances,Strategy,Stealth,
Munin,8.0,4.65,2014,Single Appearance,Platform,Action,
Tangle Tower,9.0,21.34,2019,2-4 Appearances,Point-and-click,Comedy,
Crimson Dawn,6.0,2.8,2022,Single Appearance,Role-playing (RPG),Action,
Infinifactory,8.0,18.53,2015,Zachtronics,Puzzle,Science fiction,
Lost Judgment,9.0,22.73,2021,Ryu Ga Gotoku Studio,Role-playing (RPG),Action,
Mainframe Defenders,8.0,8.96,2020,Single Appearance,Role-playing (RPG),Action,
Murder by Numbers,8.0,5.58,2020,Mediatonic,Puzzle,Action,
Mon Bazou,9.0,36.41,2021,Single Appearance,Racing,Survival,
Samurai Chess,6.0,2.2,2021,2-4 Appearances,Puzzle,Action,
Ninja Stealth 2,5.0,2.08,2017,2-4 Appearances,Role-playing (RPG),Action,
Turing Complete,9.0,21.06,2021,Single Appearance,Puzzle,Educational,
Haven Moon,6.0,3.58,2016,Single Appearance,Point-and-click,Mystery,
Peekaboo,6.0,3.83,2019,2-4 Appearances,Racing,Action,
Chip's Challenge 1,8.0,9.74,2015,2-4 Appearances,Puzzle,Science fiction,
Evan's Remains,8.0,7.57,2020,Single Appearance,Platform,Action,
Behind the Frame: The Finest Scenery,9.0,21.19,2021,Single Appearance,Point-and-click,Drama,
Youropa,8.0,6.94,2018,Single Appearance,Platform,Action,
