id,name,reviewer_rating,positivity_ratio,developer,first_release_date,game_modes,genres,themes
33214,Fortnite,9.6,84,Epic Games,2017,6,5,39
21779,League of Legends,9.2,84,Riot Games,2009,2,12,1
1337444628,Call of Duty: Modern Warfare III,6,58,Infinity Ward,2011,2,5,39
516575,VALORANT,9,90,Riot Games,2020,2,5,39
18122,World of Warcraft,9.5,83,Blizzard Entertainment,2004,2,11,39
32982,Grand Theft Auto V,10,95,Rockstar Games,2013,2,12,1
2085980140,Lethal Company,10,90,Zeekerss,2023,2,32,21
513143,Teamfight Tactics,9,90,Riot Games,2019,2,15,1
511224,Apex Legends,9,81,Respawn Entertainment,2019,2,5,39
27471,Minecraft,9,90,Mojang,2011,2,32,21
32399,Counter-Strike 2,9,64,Valve Corporation,2023,2,5,39
143106037,EA Sports FC 24,6,71,EA Romania,2023,2,14,1
491487,Dead by Daylight,9,88,Behaviour Interactive,2016,2,4,19
940938045,Class of '09: The Re-Up,8.9,90,SBN3,2023,1,12,31
515025,Overwatch 2,2,53,Blizzard Entertainment,2022,2,5,1
513181,Genshin Impact,9,84,miHoYo,2020,1,12,17
518014,Gran Turismo 7,9,90,Polyphony Digital,2017,2,10,1
138585,Hearthstone,8,87,Blizzard Entertainment,2014,2,15,32
55453844,Street Fighter 6,9,89,Capcom,2023,2,4,1
512710,Call of Duty: Warzone,10,93,Raven Software,2020,2,5,39
491931,Escape from Tarkov,8,80,Battlestate Game,2023,1,5,1
27546,World of Tanks,7.5,75,Wargaming,2010,2,11,1
490100,Lost Ark,8,85,Smilegate,2018,1,12,1
512953,ELDEN RING,10,92,FromSoftware Inc,2022,1,12,1
2009321156,Dark and Darker,9,90,Ironmace,2023,2,5,1
386821,Black Desert,7,70,Pearl Abyss,2014,2,12,1
459931,Old School RuneScape,9,90,Jagex,2001,2,12,1
65632,DayZ,7,88,Bohemia Interactive,2013,2,5,21
499003,VRChat,7,80,VRChat,2014,2,13,38
493057,PUBG: BATTLEGROUNDS,8,88,PUBG Corps,2017,2,5,1
460630,Tom Clancy's Rainbow Six Siege,8.5,90,Ubisoft,1998,2,5,21
33734,Pokémon Black/White Version 2,9,94,Game Freak,2010,2,12,17
1675405846,Super Mario RPG,8,94,Nintendo,1996,1,12,1
499132,They Are Billions,9,93,Numantian Games,2017,2,11,21
512864,Eternal Return,7,87,Nimble Neuron,2020,2,12,1
494184,Mobile Legends: Bang Bang,9,90,Moonton,2016,2,12,1
623879571,NBA 2K24,2,57,Visual Concepts,2023,2,14,1
735904419,ARK: Survival Ascended,6,88,Studio Wildcard,2023,2,5,20
497057,Destiny 2,9,89,Bungie,2017,2,5,39
30921,Rocket League,9,94,Psyonix,2015,2,14,17
19976,MapleStory,6,81,Nexon,2003,2,12,38
25367,Dungeon Fighter Online,6,80,Neople,2005,2,4,38
1438678100,Madden NFL 24,5,36,EA Tiburon,2023,2,14,1
512923,Baldur's Gate 3,10,93,Larian Studios,2023,2,12,38
1494,Call of Duty,6.2,62,infinity ward,2003,2,5,1
653624336,Lies of P,9,94,neowiz games,2023,2,12,17
670867987,Pokémon Scarlet/Violet,9,70,game freak,2022,2,12,35
23020,ROBLOX,9,65,Roblox Corporation,2006,2,8,35
24241,FINAL FANTASY XIV ONLINE,9,88,square enix co,2023,2,4,17
19619,Tibia,8.3,80,CipSoft,1997,2,12,38
2692,Super Mario 64,9.8,96,Nintendo,1996,1,8,17
417528,Albion Online,8.5,79,Sandbox Interactive,2017,2,12,17
263490,Rust,9,94,Facepunch studios,2013,2,5,21
11386,Metal Gear Solid 2: Sons of Liberty,6,97,Konami Computer Entertainment Japan,2001,1,31,1
2897,The Simpsons: Hit & Run,8,80,Radical Entertainment,2003,2,32,1
518184,Phasmophobia,10,96,Kinetic Games,2020,2,32,19
340920845,Backpack Battles,8.9,89,PlayWithFurcifer,2023,2,15,21
499859,Spelunky 2,9,93,Mossmouth,2020,2,8,35
515024,Diablo IV,6,62,blizzard entertainment,2023,2,4,1
978297816,Naruto x Boruto: Ultimate Ninja Storm Connections,6,70,CyberConnect2,2023,2,4,1
493959,Red Dead Redemption 2,10,96,Rockstar Games,2018,2,31,1
678842894,Arena Breakout,9,90,Level Infinite,2023,2,5,39
490377,Sea of Thieves,8,94,Rare,2018,2,4,1
500188,Hunt: Showdown,7.5,92,Crytek,2018,2,5,21
504461,Super Smash Bros. Ultimate,9.4,96,Bandai Namco Studios,2018,2,4,17
509932,Puyo Puyo Champions,7.5,90,SEGA,2018,2,33,40
506416,Halo Infinite,9,91,343 Industries,2021,2,5,1
32513,To the Moon,7.5,86,Freebird Games,2011,1,9,21
515325,Not for Broadcast,9,80,NotGames,2019,2,32,1
32507,SMITE,8.5,87,Hi Rez Studios,2014,2,4,1
34054,El Chavo,8,92,Slang,2012,1,10,1
23857,Pokémon HeartGold/SoulSilver,8.5,95,Game Freak,2009,1,12,38
509511,Marbles on Stream,8.6,86,Pixle,2018,1,11,32
