game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,developer_Scott Cawthon,binned_developer_encoded
The Tiny Bang Story,8.0,7.07,2011,1,2,17,0,338
World of Guns: Gun Disassembly,8.0,5.21,2014,1,5,1,0,338
Hacknet,8.0,14.55,2015,1,9,43,0,3
SpaceChem,8.0,11.44,2011,1,9,18,0,414
Learn to Fly 3,8.0,15.57,2017,1,13,1,0,338
Trailmakers,8.0,11.91,2019,1,10,1,0,3
Dorfromantik,9.0,32.15,2021,1,9,32,0,338
Airport CEO,8.0,5.54,2017,1,13,28,0,338
Human Resource Machine,8.0,15.22,2015,1,9,27,0,3
while True: learn(),8.0,11.26,2019,1,9,34,0,3
Opus Magnum,9.0,37.98,2017,1,9,17,0,414
The Bridge,8.0,7.04,2013,1,8,17,0,338
Contraption Maker,8.0,10.44,2014,1,8,33,0,338
7 Billion Humans,8.0,13.62,2018,1,9,27,0,3
Lightmatter,8.0,10.57,2020,1,9,18,0,338
Hook,9.0,32.79,1992,1,2,17,0,3
Hook,9.0,32.79,1993,1,8,1,0,3
Judgment,9.0,23.36,2018,1,12,1,0,317
Wilderplace,7.0,20.0,2022,1,9,17,0,338
Mars Horizon,8.0,5.3,2020,1,13,18,0,30
Battle Ram,8.0,7.99,2023,1,14,1,0,3
Ninja Stealth,5.0,2.16,2016,1,15,23,0,3
Munin,8.0,4.65,2014,1,8,1,0,338
Tangle Tower,9.0,21.34,2019,1,2,27,0,3
Crimson Dawn,6.0,2.8,2022,1,12,1,0,338
Infinifactory,8.0,18.53,2015,1,9,18,0,414
Lost Judgment,9.0,22.73,2021,1,12,1,0,317
Mainframe Defenders,8.0,8.96,2020,1,12,1,0,338
Murder by Numbers,8.0,5.58,2020,1,9,1,0,225
Mon Bazou,9.0,36.41,2021,1,10,21,0,338
Samurai Chess,6.0,2.2,2021,1,9,1,0,3
Ninja Stealth 2,5.0,2.08,2017,1,12,1,0,3
Turing Complete,9.0,21.06,2021,1,9,34,0,338
Haven Moon,6.0,3.58,2016,1,2,43,0,338
Peekaboo,6.0,3.83,2019,1,10,1,0,3
Chip's Challenge 1,8.0,9.74,2015,1,9,18,0,3
Evan's Remains,8.0,7.57,2020,1,8,1,0,338
Behind the Frame: The Finest Scenery,9.0,21.19,2021,1,2,31,0,338
Youropa,8.0,6.94,2018,1,8,1,0,338
Tetropunk,6.0,3.33,2017,1,9,1,0,338
Attempt[42],5.0,1.2,2016,1,32,1,0,3
Lost in Paradise,5.0,1.08,2015,1,9,1,0,338
The Prism,5.0,2.23,2015,1,15,38,0,338
All Over,7.0,8.33,2020,1,9,1,0,338
Akin,8.0,6.45,2016,1,32,1,0,3
Hive,8.0,5.88,2013,1,5,19,0,3
Hive,8.0,5.88,1986,1,33,1,0,3
Hive,8.0,5.88,2013,1,5,19,0,3
Hive,8.0,5.88,1986,1,33,1,0,3
CrossCells,8.0,5.65,2017,1,9,34,0,223
Rail Route,8.0,15.04,2021,1,9,33,0,338
Alice's Patchwork,8.0,4.93,2016,1,9,17,0,78
A Little to the Left,8.0,7.47,2022,1,9,27,0,338
Hexologic,9.0,22.7,2018,1,9,34,0,3
Lost in Play,9.0,59.06,2022,1,2,17,0,338
Machinika Museum,8.0,10.73,2021,1,2,18,0,338
The Deletion,6.0,3.11,2015,1,32,1,0,315
The Eyes of Ara,8.0,5.11,2016,1,2,43,0,338
Trigon: Space Story,5.0,2.15,2021,1,12,18,0,338
Main Assembly,8.0,6.92,2020,1,13,1,0,338
A=B,9.0,26.05,2021,1,9,34,0,338
Tiny Room Stories: Town Mystery,8.0,8.93,2019,1,2,18,0,338
Patrick's Parabox,9.0,135.5,2022,1,9,34,0,338
